,gRNAs at position of ,,,,,,,,
Key,mU6 (P3),U6 (P2),H1 (P1),Plasmid,Cell_D9,Cell_D15_rep1,Cell_D26_rep1,Cell_D15_rep2,Cell_D26_rep2
"6,31,5",DNMT1_2,TGFB1_1,DNMT1_1,27.75,24.9,28.06,23.47,21.86,25.85
"6,31,6",DNMT1_2,TGFB1_1,DNMT1_2,13.12,9.74,9.21,9.99,8.45,19.46
"6,31,7",DNMT1_2,TGFB1_1,EGFR_1,16.51,24.56,23.75,32.02,17.15,12.88
"6,31,8",DNMT1_2,TGFB1_1,EGFR_2,16.64,9.81,1.81,11.03,6.49,2.15
"6,31,9",DNMT1_2,TGFB1_1,ERBB2_1,12.4,7.44,13.48,24.03,16.16,20.31
"6,31,10",DNMT1_2,TGFB1_1,ERBB2_2,13.23,23.92,15.63,13.49,20.05,36.12
"6,31,11",DNMT1_2,TGFB1_1,HDAC1_1,28.02,20.33,24.17,27.53,34.54,34.19
"6,31,12",DNMT1_2,TGFB1_1,HDAC1_2,6.83,7.28,5.93,2,8.89,12.46
"6,31,13",DNMT1_2,TGFB1_1,IKBKB_1,13.63,11.67,6,8.91,12.58,15.85
"6,31,14",DNMT1_2,TGFB1_1,IKBKB_2,12.48,9.92,4.83,6.25,10.42,7.08
"6,31,15",DNMT1_2,TGFB1_1,MAP2K1_1,15.95,12.81,11.74,21.97,23.34,21.73
"6,31,16",DNMT1_2,TGFB1_1,MAP2K1_2,15.3,28.57,26.51,26.68,22.7,26.46
"6,31,17",DNMT1_2,TGFB1_1,MTOR_1,21.94,11.13,5.4,4.71,7.76,6.69
"6,31,18",DNMT1_2,TGFB1_1,MTOR_2,20.68,22.31,18.46,6.19,14.15,25.15
"6,31,19",DNMT1_2,TGFB1_1,POLA1_1,14.44,17.02,15.97,13.06,7.86,13.65
"6,31,20",DNMT1_2,TGFB1_1,POLA1_2,11.64,7.91,0.26,,5.75,0.96
"6,31,21",DNMT1_2,TGFB1_1,TOP1_1,12.99,9.1,,,,
"6,31,22",DNMT1_2,TGFB1_1,TOP1_2,17.53,10.04,3.36,,1.82,4.69
"6,31,23",DNMT1_2,TGFB1_1,TUBA1A_1,15.57,11.25,31.45,41.64,27.37,20.46
"6,31,24",DNMT1_2,TGFB1_1,TUBA1A_2,14.39,6.28,,,1.82,2.96
"6,31,25",DNMT1_2,TGFB1_1,TYMS_1,16.32,9.85,13.14,22.46,17.69,9.12
"6,31,26",DNMT1_2,TGFB1_1,TYMS_3,22.75,29.06,13.22,12.47,25.4,4.54
"6,31,27",DNMT1_2,TGFB1_1,FGF2_1,25.71,17.34,18.39,36.57,44.81,28.58
"6,31,28",DNMT1_2,TGFB1_1,FGF2_2,12.72,13.49,25.11,12.02,20.49,19.35
"6,31,29",DNMT1_2,TGFB1_1,PIK3C3_1,33.77,27.75,25.6,18.76,20.14,25.85
"6,31,30",DNMT1_2,TGFB1_1,PIK3C3_2,12.93,6.93,4.12,7.76,3.44,1.54
"6,31,31",DNMT1_2,TGFB1_1,TGFB1_1,13.2,20.73,12.61,43.18,21.67,58.46
"6,31,32",DNMT1_2,TGFB1_1,TGFB1_2,25.73,31.23,40.82,34.9,33.02,16.42
"6,32,1",DNMT1_2,TGFB1_2,dummyguide_1,15.73,14.87,30.13,36.21,32.03,23.58
"6,32,2",DNMT1_2,TGFB1_2,dummyguide_2,39.8,53.76,60.27,74.65,82.49,53.5
"6,32,3",DNMT1_2,TGFB1_2,CDK4_3,18.31,9.15,26.58,24.85,17.25,16.54
"6,32,4",DNMT1_2,TGFB1_2,CDK4_2,21.16,27.28,7.85,9.92,22.26,10.96
"6,32,5",DNMT1_2,TGFB1_2,DNMT1_1,28.69,23.97,29.68,14.7,24.76,38.73
"6,32,6",DNMT1_2,TGFB1_2,DNMT1_2,16.97,9.73,10.84,11.39,15.13,18.42
"6,32,7",DNMT1_2,TGFB1_2,EGFR_1,29.07,32.79,37.01,36.14,29.92,28.19
"6,32,8",DNMT1_2,TGFB1_2,EGFR_2,28.21,38.09,37.08,45.21,46.87,42.42
"6,32,9",DNMT1_2,TGFB1_2,ERBB2_1,44.18,37.96,44.75,32.61,46.28,33.77
"6,32,10",DNMT1_2,TGFB1_2,ERBB2_2,12.1,17.18,17.11,9.04,18.67,24.62
"6,32,11",DNMT1_2,TGFB1_2,HDAC1_1,25.65,22.31,23.71,14.5,19.9,36.69
"6,32,12",DNMT1_2,TGFB1_2,HDAC1_2,22.86,21.1,26.17,23.31,8.45,11
"6,32,13",DNMT1_2,TGFB1_2,IKBKB_1,13.66,21.26,24.88,22.66,25.84,16
"6,32,14",DNMT1_2,TGFB1_2,IKBKB_2,19.55,21.78,17.07,18.83,6.78,5.5
"6,32,15",DNMT1_2,TGFB1_2,MAP2K1_1,25.22,45.85,41.05,33.16,36.31,39.88
"6,32,16",DNMT1_2,TGFB1_2,MAP2K1_2,21.24,28.81,30.77,35.33,19.16,17.96
"6,32,17",DNMT1_2,TGFB1_2,MTOR_1,22.21,16.87,7.74,14.8,7.08,6.27
"6,32,18",DNMT1_2,TGFB1_2,MTOR_2,18.37,9.78,5.51,1.93,1.28,0.92
"6,32,19",DNMT1_2,TGFB1_2,POLA1_1,18.26,5.2,3.78,,,
"6,32,20",DNMT1_2,TGFB1_2,POLA1_2,14.92,7.89,7.89,0.03,1.82,6.12
"6,32,21",DNMT1_2,TGFB1_2,TOP1_1,26.78,7.52,1.77,,1.82,
"6,32,22",DNMT1_2,TGFB1_2,TOP1_2,24.28,25.53,4.15,,1.77,
"6,32,23",DNMT1_2,TGFB1_2,TUBA1A_1,29.98,23.78,29.64,26.72,19.51,15.5
"6,32,24",DNMT1_2,TGFB1_2,TUBA1A_2,23.37,13.98,9.7,3.04,8.06,
"6,32,25",DNMT1_2,TGFB1_2,TYMS_1,21.67,22.34,27.45,5.21,27.02,21.85
"6,32,26",DNMT1_2,TGFB1_2,TYMS_3,32.29,31.74,22.01,23.64,21.47,36.62
"6,32,27",DNMT1_2,TGFB1_2,FGF2_1,26.51,42.62,35.65,14.37,43.68,28.85
"6,32,28",DNMT1_2,TGFB1_2,FGF2_2,10.65,10.85,4.38,1.8,12.48,3
"6,32,29",DNMT1_2,TGFB1_2,PIK3C3_1,17.42,22.59,21.79,12.7,9.83,19.27
"6,32,30",DNMT1_2,TGFB1_2,PIK3C3_2,24.31,21.45,21.41,10.74,15.53,10.92
"6,32,31",DNMT1_2,TGFB1_2,TGFB1_1,41.44,50.04,66.95,78.97,58.08,95.73
"6,32,32",DNMT1_2,TGFB1_2,TGFB1_2,8.55,1.31,,0.03,,0.04
"7,1,1",EGFR_1,dummyguide_1,dummyguide_1,22.53,29.23,53.7,73.47,44.76,37.04
"7,1,2",EGFR_1,dummyguide_1,dummyguide_2,33.67,31.25,25.68,27.7,26.97,9.5
"7,1,3",EGFR_1,dummyguide_1,CDK4_3,19.44,19.73,18.05,31.27,19.8,30.42
"7,1,4",EGFR_1,dummyguide_1,CDK4_2,27.16,26.56,29.83,29.66,18.52,25.58
"7,1,5",EGFR_1,dummyguide_1,DNMT1_1,35.39,37.91,32.81,29.3,29.63,71.38
"7,1,6",EGFR_1,dummyguide_1,DNMT1_2,23.72,23.5,15.78,5.47,30.9,0.38
"7,1,7",EGFR_1,dummyguide_1,EGFR_1,31.22,32.52,35.46,77.53,32.23,37.12
"7,1,8",EGFR_1,dummyguide_1,EGFR_2,42.19,64.75,88.78,91.57,87.36,129.62
"7,1,9",EGFR_1,dummyguide_1,ERBB2_1,43.35,32.63,26.39,11.69,25.21,21.35
"7,1,10",EGFR_1,dummyguide_1,ERBB2_2,41.97,29.93,46.56,107.71,44.51,56.85
"7,1,11",EGFR_1,dummyguide_1,HDAC1_1,31.46,38.94,55.32,43.48,55.37,42.08
"7,1,12",EGFR_1,dummyguide_1,HDAC1_2,21.57,16.04,11.71,11.98,11.94,5.92
"7,1,13",EGFR_1,dummyguide_1,IKBKB_1,21.24,58.33,86.92,143.92,73.9,103.73
"7,1,14",EGFR_1,dummyguide_1,IKBKB_2,39.23,33.99,29.04,47.93,39.45,78.73
"7,1,15",EGFR_1,dummyguide_1,MAP2K1_1,23.53,29.93,43.2,63.58,40.53,41.5
"7,1,16",EGFR_1,dummyguide_1,MAP2K1_2,23.61,26.59,17.37,33.56,40.24,32.65
"7,1,17",EGFR_1,dummyguide_1,MTOR_1,23.77,18.02,16.58,7.92,16.12,5.58
"7,1,18",EGFR_1,dummyguide_1,MTOR_2,43.59,43.06,24.58,4.35,34.59,2.58
"7,1,19",EGFR_1,dummyguide_1,POLA1_1,21.08,4.25,4,2.72,,0.04
"7,1,20",EGFR_1,dummyguide_1,POLA1_2,11.08,12.91,7.89,4.75,9.97,8.46
"7,1,21",EGFR_1,dummyguide_1,TOP1_1,29.47,16.17,2.61,,3.14,1.65
"7,1,22",EGFR_1,dummyguide_1,TOP1_2,19.63,23.25,23.11,,22.75,20.46
"7,1,23",EGFR_1,dummyguide_1,TUBA1A_1,27.45,24.91,8.65,20.27,10.27,29.5
"7,1,24",EGFR_1,dummyguide_1,TUBA1A_2,28.96,20.77,11.06,12.96,7.32,16.04
"7,1,25",EGFR_1,dummyguide_1,TYMS_1,35.9,29.39,17.14,29.33,27.91,14.62
"7,1,26",EGFR_1,dummyguide_1,TYMS_3,33.4,55.34,70.8,26.68,74.04,73.35
"7,1,27",EGFR_1,dummyguide_1,FGF2_1,30.82,36.77,45.61,50.03,29.23,46
"7,1,28",EGFR_1,dummyguide_1,FGF2_2,46.09,43.46,35,71.96,46.87,70.04
"7,1,29",EGFR_1,dummyguide_1,PIK3C3_1,17.34,30.04,31.76,56.34,24.37,9.96
"7,1,30",EGFR_1,dummyguide_1,PIK3C3_2,28.29,9.81,29.68,9.53,43.14,25.65
"7,1,31",EGFR_1,dummyguide_1,TGFB1_1,29.2,22.85,32.21,28.91,32.33,29.35
"7,1,32",EGFR_1,dummyguide_1,TGFB1_2,11.37,8.21,2.11,20.46,5.85,8.54
"7,2,1",EGFR_1,dummyguide_2,dummyguide_1,49.29,67.67,71.33,62.43,75.86,121.73
"7,2,2",EGFR_1,dummyguide_2,dummyguide_2,68.43,70.28,85.87,138.16,96.1,175.96
"7,2,3",EGFR_1,dummyguide_2,CDK4_3,47.7,59.1,59.32,55.07,84.95,111.08
"7,2,4",EGFR_1,dummyguide_2,CDK4_2,64.45,100.65,114.11,172.27,81.66,136.5
"7,2,5",EGFR_1,dummyguide_2,DNMT1_1,69.72,89.14,75.75,29.17,81.91,54.46
"7,2,6",EGFR_1,dummyguide_2,DNMT1_2,52.81,109.36,133.26,111.8,93.94,149.15
"7,2,7",EGFR_1,dummyguide_2,EGFR_1,46.12,37.74,85.94,66.07,66.38,106.35
"7,2,8",EGFR_1,dummyguide_2,EGFR_2,49.66,72.13,63.06,120.64,81.51,115.96
"7,2,9",EGFR_1,dummyguide_2,ERBB2_1,60.66,72.52,83.98,76.48,75.67,56.69
"7,2,10",EGFR_1,dummyguide_2,ERBB2_2,57.09,70.82,110.03,89.44,123.37,129.69
"7,2,11",EGFR_1,dummyguide_2,HDAC1_1,37.38,50.47,44.29,79.33,37.05,29.92
"7,2,12",EGFR_1,dummyguide_2,HDAC1_2,39.58,42.93,36.1,53.2,36.6,52.96
"7,2,13",EGFR_1,dummyguide_2,IKBKB_1,44.69,46.85,52.19,44.2,51.49,30.65
"7,2,14",EGFR_1,dummyguide_2,IKBKB_2,23.29,11.56,30.36,41.15,27.27,23.73
"7,2,15",EGFR_1,dummyguide_2,MAP2K1_1,60.55,60.57,64.65,61.65,54.73,84.31
"7,2,16",EGFR_1,dummyguide_2,MAP2K1_2,45.68,84.69,85.38,118.58,136.79,117.08
"7,2,17",EGFR_1,dummyguide_2,MTOR_1,50.82,55.7,33.12,23.28,34.74,32.23
"7,2,18",EGFR_1,dummyguide_2,MTOR_2,45.17,34.89,17.33,30.32,32.53,27.46
"7,2,19",EGFR_1,dummyguide_2,POLA1_1,62.71,37.02,11.59,10.51,8.16,7.27
"7,2,20",EGFR_1,dummyguide_2,POLA1_2,21.46,14.17,21.45,34.31,18.13,17.38
"7,2,21",EGFR_1,dummyguide_2,TOP1_1,57.57,31.28,23.45,18.6,18.38,16.85
"7,2,22",EGFR_1,dummyguide_2,TOP1_2,31.92,37.18,24.2,40.86,30.86,24.19
"7,2,23",EGFR_1,dummyguide_2,TUBA1A_1,53.16,56.84,55.62,64.04,67.21,63.35
"7,2,24",EGFR_1,dummyguide_2,TUBA1A_2,76.28,27.54,36.02,22,16.75,9.85
"7,2,25",EGFR_1,dummyguide_2,TYMS_1,22.56,16.59,38.86,32.02,26.09,17.35
"7,2,26",EGFR_1,dummyguide_2,TYMS_3,59.67,67.97,102.22,53.63,88.73,55.54
"7,2,27",EGFR_1,dummyguide_2,FGF2_1,54.69,68.58,87,69.31,72.23,57.77
"7,2,28",EGFR_1,dummyguide_2,FGF2_2,30.92,34.2,61.89,71.47,53.16,40.08
"7,2,29",EGFR_1,dummyguide_2,PIK3C3_1,38.32,37.79,25.94,26.52,30.12,40.42
"7,2,30",EGFR_1,dummyguide_2,PIK3C3_2,46.33,49.35,50.07,41.12,56.65,45.73
"7,2,31",EGFR_1,dummyguide_2,TGFB1_1,58.11,86.72,105.69,84.96,127.35,137.81
"7,2,32",EGFR_1,dummyguide_2,TGFB1_2,41.03,60.53,71.97,117.34,77.63,80.04
"7,3,1",EGFR_1,CDK4_3,dummyguide_1,34.82,39.87,65.7,60.24,53.8,21.15
"7,3,2",EGFR_1,CDK4_3,dummyguide_2,49.58,50.98,26.66,15.22,51.98,40.58
"7,3,3",EGFR_1,CDK4_3,CDK4_3,41.44,26.44,25.49,39.45,42.99,35.81
"7,3,4",EGFR_1,CDK4_3,CDK4_2,13.66,26.96,38.93,43.08,14.25,33.12
"7,3,5",EGFR_1,CDK4_3,DNMT1_1,47.22,53.87,64.61,76.25,41.52,39.38
"7,3,6",EGFR_1,CDK4_3,DNMT1_2,53.94,37.11,84.36,49.76,69.77,53.54
"7,3,7",EGFR_1,CDK4_3,EGFR_1,26.06,36.08,36.14,39.19,55.37,25.04
"7,3,8",EGFR_1,CDK4_3,EGFR_2,33.8,72.75,67.7,59,67.41,63.88
"7,3,9",EGFR_1,CDK4_3,ERBB2_1,23.5,37.42,39.04,34.38,45.4,33.96
"7,3,10",EGFR_1,CDK4_3,ERBB2_2,41.87,65.27,86.89,47.9,84.07,77.85
"7,3,11",EGFR_1,CDK4_3,HDAC1_1,52.25,71.38,94.18,135.31,108.78,115.88
"7,3,12",EGFR_1,CDK4_3,HDAC1_2,30.55,41.04,42.33,33.59,36.36,42.46
"7,3,13",EGFR_1,CDK4_3,IKBKB_1,39.69,50,45.46,84.47,53.7,39.12
"7,3,14",EGFR_1,CDK4_3,IKBKB_2,33.07,35.04,27.83,30.28,22.75,50.62
"7,3,15",EGFR_1,CDK4_3,MAP2K1_1,47.92,31.77,47.96,42.56,61.37,49.42
"7,3,16",EGFR_1,CDK4_3,MAP2K1_2,31.46,32.63,72.24,103.59,70.6,68.31
"7,3,17",EGFR_1,CDK4_3,MTOR_1,20.84,14.24,10.57,1.7,17.64,0.92
"7,3,18",EGFR_1,CDK4_3,MTOR_2,28.21,18.39,4.98,,7.66,
"7,3,19",EGFR_1,CDK4_3,POLA1_1,27.83,25.82,21.94,2.46,13.61,17.27
"7,3,20",EGFR_1,CDK4_3,POLA1_2,29.26,7.84,13.25,,7.27,7
"7,3,21",EGFR_1,CDK4_3,TOP1_1,40.2,15.33,0.91,3.04,5.36,
"7,3,22",EGFR_1,CDK4_3,TOP1_2,16.99,23.04,16.46,17.68,15.33,11.77
"7,3,23",EGFR_1,CDK4_3,TUBA1A_1,36.03,45.84,56.79,73.99,56.55,57.81
"7,3,24",EGFR_1,CDK4_3,TUBA1A_2,47.59,22.87,37.12,12.74,14,3
"7,3,25",EGFR_1,CDK4_3,TYMS_1,27.29,20.7,17.03,8.87,22.21,21.46
"7,3,26",EGFR_1,CDK4_3,TYMS_3,61.5,61.27,52.49,70.88,74.09,68.31
"7,3,27",EGFR_1,CDK4_3,FGF2_1,51.52,43.41,39.42,35.29,65.74,61.88
"7,3,28",EGFR_1,CDK4_3,FGF2_2,21.4,18.3,14.39,3.63,12.87,14.04
"7,3,29",EGFR_1,CDK4_3,PIK3C3_1,40.95,56.25,71.48,51.7,63.53,112.62
"7,3,30",EGFR_1,CDK4_3,PIK3C3_2,54.45,60.08,71.07,79.33,60.73,47.58
"7,3,31",EGFR_1,CDK4_3,TGFB1_1,46.55,48.32,35.76,93.08,51.84,62.15
"7,3,32",EGFR_1,CDK4_3,TGFB1_2,24.36,35.69,46.45,33.33,30.17,40.81
"7,4,1",EGFR_1,CDK4_2,dummyguide_1,19.17,27.01,46.86,42.82,22.26,53.54
"7,4,2",EGFR_1,CDK4_2,dummyguide_2,13.61,18.35,25.45,18.04,22.85,7.19
"7,4,3",EGFR_1,CDK4_2,CDK4_3,9.55,6.05,9.18,4.06,25.7,20.81
"7,4,4",EGFR_1,CDK4_2,CDK4_2,13.55,9.41,14.27,23.02,15.77,29.81
"7,4,5",EGFR_1,CDK4_2,DNMT1_1,31.35,28.76,52.79,33.53,28.79,24
"7,4,6",EGFR_1,CDK4_2,DNMT1_2,17.48,28.06,37.84,14.01,26.97,49.12
"7,4,7",EGFR_1,CDK4_2,EGFR_1,40.74,64.85,76.65,85.94,58.76,82.88
"7,4,8",EGFR_1,CDK4_2,EGFR_2,25.65,39.49,69.52,54.64,40.24,62.04
"7,4,9",EGFR_1,CDK4_2,ERBB2_1,31,34.38,35.91,23.64,42.8,29.42
"7,4,10",EGFR_1,CDK4_2,ERBB2_2,10.08,13.75,12.5,8.91,7.91,16.38
"7,4,11",EGFR_1,CDK4_2,HDAC1_1,14.17,7.1,9.55,12.44,14,13.42
"7,4,12",EGFR_1,CDK4_2,HDAC1_2,21.3,16.5,15.41,21.12,9.97,9.62
"7,4,13",EGFR_1,CDK4_2,IKBKB_1,15.3,16.6,16.61,33.2,22.06,26.08
"7,4,14",EGFR_1,CDK4_2,IKBKB_2,30.87,26.03,24.32,92.36,28.89,39.04
"7,4,15",EGFR_1,CDK4_2,MAP2K1_1,19.76,19.72,40.55,93.05,38.18,55.27
"7,4,16",EGFR_1,CDK4_2,MAP2K1_2,16.05,17.3,14.46,10.21,25.75,41.38
"7,4,17",EGFR_1,CDK4_2,MTOR_1,14.55,22.8,7.02,35.23,17.98,21
"7,4,18",EGFR_1,CDK4_2,MTOR_2,20.92,18.16,21.94,3.73,26.34,21.65
"7,4,19",EGFR_1,CDK4_2,POLA1_1,18.31,10.08,9.89,18.99,6.83,6.92
"7,4,20",EGFR_1,CDK4_2,POLA1_2,10.27,2.8,,,2.06,
"7,4,21",EGFR_1,CDK4_2,TOP1_1,15.49,19.87,6.42,5.83,6.83,2.81
"7,4,22",EGFR_1,CDK4_2,TOP1_2,24.25,45.42,54.26,25.63,50.21,38.92
"7,4,23",EGFR_1,CDK4_2,TUBA1A_1,25.6,43.79,39.01,48.22,43.19,57.85
"7,4,24",EGFR_1,CDK4_2,TUBA1A_2,22.51,4.5,6.12,12.21,5.11,7.08
"7,4,25",EGFR_1,CDK4_2,TYMS_1,19.33,12.63,11.89,4.09,15.28,15.46
"7,4,26",EGFR_1,CDK4_2,TYMS_3,12.83,25.72,15.63,4.49,9.53,6.12
"7,4,27",EGFR_1,CDK4_2,FGF2_1,25.54,34.1,35.95,62.14,24.81,14.77
"7,4,28",EGFR_1,CDK4_2,FGF2_2,19.36,7.03,9.97,6.61,25.79,18.12
"7,4,29",EGFR_1,CDK4_2,PIK3C3_1,14.31,15.92,24.62,12.96,32.82,58.58
"7,4,30",EGFR_1,CDK4_2,PIK3C3_2,17.07,22.53,6,7.43,11.84,1.58
"7,4,31",EGFR_1,CDK4_2,TGFB1_1,17.77,16.24,21.86,17.94,21.47,4.62
"7,4,32",EGFR_1,CDK4_2,TGFB1_2,19.31,19.54,20.32,22.82,11.45,26.46
"7,5,1",EGFR_1,DNMT1_1,dummyguide_1,38.96,29.76,31.3,59.29,50.02,43.15
"7,5,2",EGFR_1,DNMT1_1,dummyguide_2,40.25,50.86,78.5,103.52,65.94,112.27
"7,5,3",EGFR_1,DNMT1_1,CDK4_3,30.95,32.14,15.03,25.73,13.61,9.69
"7,5,4",EGFR_1,DNMT1_1,CDK4_2,28.53,30.83,32.78,71.83,75.76,90.42
"7,5,5",EGFR_1,DNMT1_1,DNMT1_1,69.8,93.39,107.47,100.64,113.25,110.42
"7,5,6",EGFR_1,DNMT1_1,DNMT1_2,60.77,38.59,68.99,30.35,61.42,20.31
"7,5,7",EGFR_1,DNMT1_1,EGFR_1,42.46,33.63,61.36,80.57,34.1,45.54
"7,5,8",EGFR_1,DNMT1_1,EGFR_2,54.8,57.84,102.1,99.99,92.62,128.19
"7,5,9",EGFR_1,DNMT1_1,ERBB2_1,41.52,45.4,57.36,29.2,48.49,58.85
"7,5,10",EGFR_1,DNMT1_1,ERBB2_2,35.44,32.1,30.47,49.8,39.6,101.81
"7,5,11",EGFR_1,DNMT1_1,HDAC1_1,53.56,53.27,62.46,66.43,82.54,62.38
"7,5,12",EGFR_1,DNMT1_1,HDAC1_2,40.63,23.64,23.49,18.01,22.4,18.96
"7,5,13",EGFR_1,DNMT1_1,IKBKB_1,36.62,32.49,48.07,86.73,56.06,65.92
"7,5,14",EGFR_1,DNMT1_1,IKBKB_2,32.21,12.37,14.8,6.55,14.99,17.08
"7,5,15",EGFR_1,DNMT1_1,MAP2K1_1,40.5,42.44,44.44,44.49,52.77,72
"7,5,16",EGFR_1,DNMT1_1,MAP2K1_2,31.68,43.07,41.99,22.88,48.54,43.92
"7,5,17",EGFR_1,DNMT1_1,MTOR_1,22.64,12.09,18.58,22.36,20.14,14.15
"7,5,18",EGFR_1,DNMT1_1,MTOR_2,51.41,41.01,16.61,10.15,22.06,10.42
"7,5,19",EGFR_1,DNMT1_1,POLA1_1,55.88,39.71,24.24,6.71,28.1,11.81
"7,5,20",EGFR_1,DNMT1_1,POLA1_2,28.5,10.95,6.49,3.01,4.96,5.15
"7,5,21",EGFR_1,DNMT1_1,TOP1_1,62.41,24.88,6.8,,5.01,
"7,5,22",EGFR_1,DNMT1_1,TOP1_2,33.58,21.06,14.95,5.27,22.75,19.54
"7,5,23",EGFR_1,DNMT1_1,TUBA1A_1,34.04,28.76,34.7,22.72,24.52,65.15
"7,5,24",EGFR_1,DNMT1_1,TUBA1A_2,52.7,30.63,34.59,25.34,35.57,38.88
"7,5,25",EGFR_1,DNMT1_1,TYMS_1,31.86,14.96,18.84,13.46,27.27,26.31
"7,5,26",EGFR_1,DNMT1_1,TYMS_3,61.63,48.22,55.06,44.17,48.2,40.12
"7,5,27",EGFR_1,DNMT1_1,FGF2_1,47.46,55.91,35.83,65.18,60.14,57.88
"7,5,28",EGFR_1,DNMT1_1,FGF2_2,60.5,59.52,50.9,84.5,84.71,71
"7,5,29",EGFR_1,DNMT1_1,PIK3C3_1,61.71,38.19,63.29,58.18,54.19,39.27
"7,5,30",EGFR_1,DNMT1_1,PIK3C3_2,55.2,48.93,51.81,103.85,57.53,61.69
"7,5,31",EGFR_1,DNMT1_1,TGFB1_1,27.48,17.92,21.11,54.48,17.34,18.27
"7,5,32",EGFR_1,DNMT1_1,TGFB1_2,12.91,6.51,0.08,0.03,2.8,2.85
"7,6,1",EGFR_1,DNMT1_2,dummyguide_1,46.33,66.03,92.14,85.91,85.2,146.12
"7,6,2",EGFR_1,DNMT1_2,dummyguide_2,49.05,82.3,103.2,137.7,133.1,93.69
"7,6,3",EGFR_1,DNMT1_2,CDK4_3,37.24,32.07,33.27,44.1,24.03,21.31
"7,6,4",EGFR_1,DNMT1_2,CDK4_2,21.24,25.49,13.9,21.51,25.89,20
"7,6,5",EGFR_1,DNMT1_2,DNMT1_1,46.44,68.93,81.9,71.67,74.88,114
"7,6,6",EGFR_1,DNMT1_2,DNMT1_2,53.99,43.67,61.21,81.65,64.46,59.69
"7,6,7",EGFR_1,DNMT1_2,EGFR_1,37.62,36.15,23.94,64.95,65.74,72.62
"7,6,8",EGFR_1,DNMT1_2,EGFR_2,45.42,74.42,99.31,109.71,82,112.88
"7,6,9",EGFR_1,DNMT1_2,ERBB2_1,57.84,35.6,58.79,47.14,52.13,30.08
"7,6,10",EGFR_1,DNMT1_2,ERBB2_2,35.33,31.42,49.47,25.77,51.64,75.62
"7,6,11",EGFR_1,DNMT1_2,HDAC1_1,64.7,79.53,73.6,103.39,89.96,92.77
"7,6,12",EGFR_1,DNMT1_2,HDAC1_2,37.16,31.49,14.05,15.52,17.05,21.58
"7,6,13",EGFR_1,DNMT1_2,IKBKB_1,46.46,60.22,66.69,36.37,76.94,67.08
"7,6,14",EGFR_1,DNMT1_2,IKBKB_2,37.32,36.98,53.17,88,46.33,77.31
"7,6,15",EGFR_1,DNMT1_2,MAP2K1_1,23.47,20.12,27.87,65.18,25.45,22.23
"7,6,16",EGFR_1,DNMT1_2,MAP2K1_2,31.97,32.47,37.53,37.22,34.54,52.69
"7,6,17",EGFR_1,DNMT1_2,MTOR_1,35.31,13.82,4.91,2.32,6.09,
"7,6,18",EGFR_1,DNMT1_2,MTOR_2,27.62,18.14,10.31,,5.65,10.04
"7,6,19",EGFR_1,DNMT1_2,POLA1_1,49.26,29.3,32.06,32.35,23.44,34.92
"7,6,20",EGFR_1,DNMT1_2,POLA1_2,23.34,13.91,19.6,2.23,11.84,17.54
"7,6,21",EGFR_1,DNMT1_2,TOP1_1,35.17,38.58,13.86,22.82,15.33,15.23
"7,6,22",EGFR_1,DNMT1_2,TOP1_2,45.52,30,35.61,40.37,34.69,12.46
"7,6,23",EGFR_1,DNMT1_2,TUBA1A_1,52.22,73.67,52.3,52.78,45.2,67.77
"7,6,24",EGFR_1,DNMT1_2,TUBA1A_2,45.68,12.44,17.37,27.96,26.14,18.27
"7,6,25",EGFR_1,DNMT1_2,TYMS_1,32.78,30.53,30.44,23.9,44.86,34.54
"7,6,26",EGFR_1,DNMT1_2,TYMS_3,43.21,43.07,58.83,50.48,52.52,38.27
"7,6,27",EGFR_1,DNMT1_2,FGF2_1,50.28,66.46,55.21,81.82,54,88.12
"7,6,28",EGFR_1,DNMT1_2,FGF2_2,26,26.44,25.98,29.86,27.42,41.04
"7,6,29",EGFR_1,DNMT1_2,PIK3C3_1,61.68,73.55,52.71,74.61,57.34,50.81
"7,6,30",EGFR_1,DNMT1_2,PIK3C3_2,36.09,37.63,40.22,19.94,35.62,21.04
"7,6,31",EGFR_1,DNMT1_2,TGFB1_1,25.87,33.7,31.91,34.74,26.68,30.5
"7,6,32",EGFR_1,DNMT1_2,TGFB1_2,29.71,36.97,48.6,66.98,53.65,68.23
"7,7,1",EGFR_1,EGFR_1,dummyguide_1,47.7,64.52,62.08,68.43,78.27,114.5
"7,7,2",EGFR_1,EGFR_1,dummyguide_2,20.11,27.07,21.71,33.75,36.75,29.04
"7,7,3",EGFR_1,EGFR_1,CDK4_3,45.82,40.26,54.45,49.21,40.63,73.77
"7,7,4",EGFR_1,EGFR_1,CDK4_2,23.42,49.37,45.61,59.29,73.8,38.5
"7,7,5",EGFR_1,EGFR_1,DNMT1_1,51.06,52.54,60.79,68.03,91.14,134.38
"7,7,6",EGFR_1,EGFR_1,DNMT1_2,33.4,30.86,35,55.56,47.46,30.19
"7,7,7",EGFR_1,EGFR_1,EGFR_1,27.78,16.36,18.2,29.27,22.95,45.65
"7,7,8",EGFR_1,EGFR_1,EGFR_2,48.56,42.11,33.34,26.16,55.77,32.73
"7,7,9",EGFR_1,EGFR_1,ERBB2_1,51.84,38.07,56.87,17.91,25.5,32.96
